Unit,Parameter,Time,Value,Scenario
El_PV,fix_units_on,2019-01-14T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T08:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T09:00:00,0.001,Base
El_PV,fix_units_on,2019-01-15T10:00:00,0.007,Base
El_PV,fix_units_on,2019-01-15T11:00:00,0.064,Base
El_PV,fix_units_on,2019-01-15T12:00:00,0.117,Base
El_PV,fix_units_on,2019-01-15T13:00:00,0.096,Base
El_PV,fix_units_on,2019-01-15T14:00:00,0.019,Base
El_PV,fix_units_on,2019-01-15T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-15T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T08:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T09:00:00,0.005,Base
El_PV,fix_units_on,2019-01-16T10:00:00,0.01,Base
El_PV,fix_units_on,2019-01-16T11:00:00,0.014,Base
El_PV,fix_units_on,2019-01-16T12:00:00,0.019,Base
El_PV,fix_units_on,2019-01-16T13:00:00,0.016,Base
El_PV,fix_units_on,2019-01-16T14:00:00,0.002,Base
El_PV,fix_units_on,2019-01-16T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T17:00:00,0.0,Base
